year,type,value
95總計,加權後樣本數,4968
95總計,能學以致用的工作,31.8
95總計,能學習到知識技能,44.56
95總計,工作穩定性,44.56
95總計,有發展前景,27.97
95總計,待遇高,42.74
95總計,通勤方便,30.76
95總計,符合自己興趣的工作,38.16
95總計,工作負擔較輕,7.1
95總計,有挑戰性,6.74
95總計,有升遷機會,9.99
95總計,其他,3.17
97總計,加權後樣本數,4012
97總計,能學以致用的工作,25.93
97總計,能學習到知識技能,38.21
97總計,工作穩定性,41.12
97總計,有發展前景,26.59
97總計,待遇高,55.04
97總計,通勤方便,30.95
97總計,符合自己興趣的工作,33.42
97總計,工作負擔較輕,5.35
97總計,有挑戰性,8.13
97總計,有升遷機會,10.53
97總計,其他,3.16
99總計,加權後樣本數,4014
99總計,能學以致用的工作,44.17
99總計,能學習到知識技能,48.96
99總計,工作穩定性,54.5
99總計,有發展前景,35.17
99總計,待遇高,51.56
99總計,通勤方便,42.12
99總計,符合自己興趣的工作,44.69
99總計,工作負擔較輕,7.85
99總計,有挑戰性,22.63
99總計,有升遷機會,21.88
99總計,其他,2.45
101總計,加權後樣本數,4064
101總計,能學以致用的工作,38.25
101總計,能學習到知識技能,47.61
101總計,工作穩定性,58.53
101總計,有發展前景,32.59
101總計,待遇高,61.09
101總計,通勤方便,48.78
101總計,符合自己興趣的工作,42.09
101總計,工作負擔較輕,10.95
101總計,有挑戰性,18.2
101總計,有升遷機會,20.91
101總計,其他,0.54
103總計,加權後樣本數,4034
103總計,能學以致用的工作,40.83
103總計,能學習到知識技能,48.01
103總計,工作穩定性,59.31
103總計,有發展前景,37.65
103總計,待遇高,60.83
103總計,通勤方便,50.71
103總計,符合自己興趣的工作,44.26
103總計,工作負擔較輕,10.07
103總計,有挑戰性,24.67
103總計,有升遷機會,25.14
103總計,其他,0.36
105總計,加權後樣本數,4047
105總計,能學以致用的工作,42.36
105總計,能學習到知識技能,49.02
105總計,工作穩定性,63.23
105總計,有發展前景,38.06
105總計,待遇高,61.49
105總計,通勤方便,51.06
105總計,符合自己興趣的工作,44.28
105總計,工作負擔較輕,9.4
105總計,有挑戰性,21.43
105總計,有升遷機會,23.08
105總計,其他,0
